so2Grade,coFlag,khaiValue,so2Value,coValue,pm25Flag,pm10Flag,o3Grade,pm10Value,khaiGrade,pm25Value,sidoName,no2Flag,no2Grade,o3Flag,pm25Grade,so2Flag,dataTime,coGrade,no2Value,stationName,pm10Grade,o3Value
1,,66,0.004,0.3,,,2,27,2,11,충북,,1,,1,,2026-04-24 16:00,1,0.015,매포읍,2,0.049
1,,80,0.002,0.2,,,2,26,2,5,충북,,1,,1,,2026-04-24 16:00,1,0.003,단성면,1,0.066
1,,75,0.002,0.2,,,2,11,2,6,충북,,1,,1,,2026-04-24 16:00,1,0.007,단양읍,1,0.060
1,,46,0.001,0.2,,,1,16,1,7,충북,,1,,1,,2026-04-24 16:00,1,0.001,청천면,1,0.028
1,,76,0.003,0.2,,,2,13,2,4,충북,,1,,1,,2026-04-24 16:00,1,0.004,괴산읍,1,0.061
,통신장애,-,-,-,통신장애,통신장애,,-,,-,충북,통신장애,,통신장애,,통신장애,2026-04-24 16:00,,-,감물면,,-
1,,85,0.002,0.3,,,2,19,2,6,충북,,1,,1,,2026-04-24 16:00,1,0.008,진천읍,1,0.072
1,,89,0.002,0.2,,,2,20,2,7,충북,,1,,1,,2026-04-24 16:00,1,0.007,덕산읍,1,0.076
1,,76,0.001,0.3,,,2,18,2,10,충북,,1,,1,,2026-04-24 16:00,1,0.006,금왕,1,0.060
1,,79,0.002,0.3,,,2,8,2,1,충북,,1,,1,,2026-04-24 16:00,1,0.005,음성읍,1,0.064
1,,82,0.002,0.4,,,2,15,2,6,충북,,1,,1,,2026-04-24 16:00,1,0.004,소이면,1,0.069
1,,79,0.002,0.3,,,2,10,2,2,충북,,1,,1,,2026-04-24 16:00,1,0.004,영동읍,1,0.065
1,,79,0.002,0.3,,,2,16,2,8,충북,,1,,1,,2026-04-24 16:00,1,0.004,황간면,1,0.064
1,,78,0.002,0.3,통신장애,,2,14,2,-,충북,,1,,1,,2026-04-24 16:00,1,0.005,도안면,1,0.063
1,,79,0.002,0.2,,,2,11,2,9,충북,,1,,1,,2026-04-24 16:00,1,0.003,증평읍,1,0.064
1,,77,0.002,0.3,,,2,18,2,3,충북,,1,,1,,2026-04-24 16:00,1,0.004,보은읍,1,0.061
1,,75,0.003,0.3,,,2,13,2,2,충북,,1,,1,,2026-04-24 16:00,1,0.006,옥천읍,1,0.059
1,,81,0.004,0.3,,,2,26,2,10,전북,,1,,1,,2026-04-24 16:00,1,0.004,삼천동,2,0.066
1,,75,0.003,0.3,,,2,34,2,8,전북,,1,,1,,2026-04-24 16:00,1,0.011,팔복동,1,0.059
1,,79,0.003,0.3,,,2,15,2,6,전북,,1,,1,,2026-04-24 16:00,1,0.006,송천동,1,0.064
